nom,nb_hab_2010,nb_hab_2012,diff2012_2010
Pouillat,88,100,12
Torcieu,698,700,2
Maillat,668,700,32
Béon,373,400,27
Saint-Bernard,1375,1400,25
Chavannes-sur-Reyssouze,680,700,20
Flaxieu,63,100,37
Saint-Sorlin-en-Bugey,1061,1100,39
Mantenay-Montlin,288,300,12
Marboz,2182,2200,18
Hauteville-Lompnes,4044,4200,156
Saint-Trivier-sur-Moignans,1877,1900,23
Peyriat,171,200,29
Crans,269,300,31
Montréal-la-Cluse,3457,3500,43
Bolozon,94,100,6
Lochieu,91,100,9
Ceignes,265,300,35
Vieu,380,400,20
Saint-André-de-Corcy,2991,3000,9
Péronnas,6054,6100,46
Monthieux,599,600,1
Montrevel-en-Bresse,2362,2400,38
Challes-la-Montagne,179,200,21
Chaleins,1165,1200,35
Thil,1070,1100,30
Oncieu,91,100,9
Lurcy,393,400,7
Balan,2348,2400,52
Blyes,886,900,14
Niévroz,1488,1500,12
Nurieux-Volognat,1058,1100,42
Sault-Brénaz,1043,1100,57
Saint-Martin-de-Bavel,443,500,57
Prémeyzel,234,300,66
Arandas,163,200,37
Boz,496,500,4
Briord,893,900,7
Matafelon-Granges,652,700,48
Saint-Nizier-le-Désert,880,900,20
Saint-Didier-de-Formans,1792,1800,8
Saint-Éloi,399,400,1
Dortan,1996,2100,104
Saint-Germain-les-Paroisses,387,400,13
Saint-Jean-sur-Veyle,1082,1100,18
Villeneuve,1383,1400,17
Souclin,261,300,39
Saint-Just,881,900,19
Talissieu,425,500,75
Cressin-Rochefort,374,400,26
Saint-Georges-sur-Renon,197,200,3
Lantenay,257,300,43
Cormaranche-en-Bugey,859,900,41
Ramasse,250,300,50
Villes,385,400,15
Groslée,353,400,47
Verjon,250,300,50
Meillonnas,1298,1300,2
La Burbanche,72,100,28
Sermoyer,669,700,31
Charix,294,300,6
Arbignieu,480,500,20
Leyssard,153,200,47
Frans,1984,2000,16
Baneins,572,600,28
Outriaz,256,300,44
Montagnieu,495,500,5
Parcieux,1095,1100,5
Saint-Germain-de-Joux,480,500,20
Saint-Martin-le-Châtel,790,800,10
Marignieu,148,200,52
Neyrolles,637,700,63
Sulignat,569,600,31
Saint-Alban,163,200,37
Bâgé-le-Châtel,796,800,4
Domsure,473,500,27
Chavannes-sur-Suran,644,700,56
Saint-Martin-du-Frêne,1077,1100,23
Saint-Maurice-de-Beynost,3865,3900,35
Servas,1184,1200,16
Pollieu,157,200,43
Brénaz,92,100,8
Bénonces,275,300,25
Beauregard,870,900,30
Oyonnax,22650,23100,450
Mionnay,2077,2100,23
Coligny,1154,1200,46
Simandre-sur-Suran,650,700,50
L'Abergement-Clémenciat,784,800,16
Lescheroux,683,700,17
Lompnas,149,200,51
Chavornay,199,200,1
Vongnes,74,100,26
Dompierre-sur-Chalaronne,389,400,11
Hostiaz,82,100,18
Belley,8755,8800,45
Corbonod,1176,1200,24
Servignat,160,200,40
Cerdon,741,800,59
Lhôpital,59,100,41
Cheignieu-la-Balme,157,200,43
Échallon,772,800,28
Montcet,665,700,35
Chevillard,162,200,38
Champdor,464,500,36
Port,847,900,53
Surjoux,78,100,22
Champfromier,677,700,23
Vésines,91,100,9
Asnières-sur-Saône,73,100,27
Romans,587,600,13
Pizay,777,800,23
Certines,1445,1500,55
Meximieux,7268,7300,32
Saint-Rambert-en-Bugey,2164,2200,36
Cize,170,200,30
Villette-sur-Ain,673,700,27
Salavre,284,300,16
Sauverny,1078,1100,22
Trévoux,6730,6800,70
Bourg-en-Bresse,40088,40200,112
Valeins,88,100,12
Vieu-d'Izenave,693,700,7
Arbigny,399,400,1
Mijoux,379,400,21
Biziat,797,800,3
Izenave,164,200,36
Courtes,266,300,34
Lapeyrouse,292,300,8
Leyment,1273,1300,27
Gercy,295,300,5
Licy-Clignon,87,100,13
Mont-Saint-Jean,80,100,20
Annois,383,400,17
Chivres-en-Laonnois,367,400,33
Ugny-le-Gay,163,200,37
Happencourt,148,200,52
Prouvais,379,400,21
Azy-sur-Marne,387,400,13
Droizy,75,100,25
Moulins,99,100,1
Saulchery,658,700,42
Bucy-le-Long,1955,2000,45
Longpont,294,300,6
Montgobert,198,200,2
